City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
96,Husavik,IS,2022-12-10 17:52:18,66.0449,-17.3389,21.63,85,42,8.55
97,Meulaboh,ID,2022-12-10 17:52:18,4.1363,96.1285,75.74,90,100,9.95
98,Guerrero Negro,MX,2022-12-10 17:49:19,27.9769,-114.0611,65.86,36,0,3.78
99,Bengkulu,ID,2022-12-10 17:52:19,-3.8004,102.2655,74.44,90,100,4.7
100,Yulara,AU,2022-12-10 17:52:19,-25.2406,130.9889,82.51,37,53,3.85
101,Barrow,US,2022-12-10 17:52:19,71.2906,-156.7887,12.22,79,100,11.5
102,Finnsnes,NO,2022-12-10 17:52:20,69.2296,17.9811,5.76,70,51,5.64
103,Baykit,RU,2022-12-10 17:52:20,61.67,96.37,-8.63,98,100,3.56
104,Silifke,TR,2022-12-10 17:52:21,36.3778,33.9344,58.8,75,45,0.65
105,Cherskiy,RU,2022-12-10 17:52:21,68.75,161.3,-26.75,96,100,4.45
106,Qaanaaq,GL,2022-12-10 17:52:21,77.484,-69.3632,2.75,95,100,5.17
107,Derzhavinsk,KZ,2022-12-10 17:52:22,51.1,66.3167,4.28,81,30,9.8
108,Oranjestad,AW,2022-12-10 17:52:22,12.524,-70.027,84.15,54,20,14.97
109,Beringovskiy,RU,2022-12-10 17:52:22,63.05,179.3167,30.06,98,100,13.22
110,Maceio,BR,2022-12-10 17:49:58,-9.6658,-35.7353,87.24,62,20,14.97
111,Soyo,AO,2022-12-10 17:52:23,-6.1349,12.3689,79.18,85,83,8.63
112,Torbay,CA,2022-12-10 17:52:24,47.6666,-52.7314,36.75,96,100,18.01
113,Pauini,BR,2022-12-10 17:52:24,-7.7136,-66.9764,85.6,67,93,3.47
114,Port Hedland,AU,2022-12-10 17:52:24,-20.3167,118.5667,84.25,39,3,11.5
115,Oxford,GB,2022-12-10 17:48:01,51.7522,-1.256,32.38,95,12,1.14
116,Carutapera,BR,2022-12-10 17:52:25,-1.195,-46.02,86.9,56,94,10.67
117,Kodiak,US,2022-12-10 17:52:25,57.79,-152.4072,27.91,64,100,3.44
118,Quelimane,MZ,2022-12-10 17:52:26,-17.8786,36.8883,82.35,83,20,10.36
119,Pucallpa,PE,2022-12-10 17:52:26,-8.3791,-74.5539,87.84,66,75,5.75
120,Luanda,AO,2022-12-10 17:52:26,-8.8368,13.2343,82.4,78,75,9.22
121,Troyes,FR,2022-12-10 17:52:27,48.3333,4.0833,29.17,93,100,0.0
122,Samarai,PG,2022-12-10 17:52:27,-10.6167,150.6667,82.04,77,87,2.59
123,Tabou,CI,2022-12-10 17:52:27,4.423,-7.3528,81.14,74,29,7.58
124,Lagoa,PT,2022-12-10 17:52:28,39.05,-27.9833,63.99,74,0,28.19
125,Dakar,SN,2022-12-10 17:50:38,14.6937,-17.4441,88.68,74,0,11.5
126,Qaqortoq,GL,2022-12-10 17:52:28,60.7167,-46.0333,14.27,67,0,7.78
127,Victoria,HK,2022-12-10 17:51:03,22.2855,114.1577,63.25,68,1,13.0
128,Hithadhoo,MV,2022-12-10 17:52:29,-0.6,73.0833,81.57,77,95,13.06
