City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
35,Esperance,AU,2022-12-04 21:03:19,-33.8667,121.9,59.85,86,91,11.23
36,Mar Del Plata,AR,2022-12-04 21:01:31,-38.0023,-57.5575,78.84,70,78,8.01
37,Kapaa,US,2022-12-04 21:03:20,22.0752,-159.319,80.58,74,75,6.91
38,Batagay,RU,2022-12-04 21:03:20,67.6333,134.6333,-16.55,97,100,3.76
39,Arraial Do Cabo,BR,2022-12-04 20:58:44,-22.9661,-42.0278,78.66,73,75,25.32
40,Vestmannaeyjar,IS,2022-12-04 21:03:21,63.4427,-20.2734,38.44,79,30,18.88
41,Manavalakurichi,IN,2022-12-04 21:03:21,8.1333,77.3,75.65,90,100,4.65
42,Taoudenni,ML,2022-12-04 21:00:39,22.6783,-3.9836,79.86,17,32,7.76
43,Saint-Philippe,RE,2022-12-04 21:03:21,-21.3585,55.7679,72.99,83,74,8.95
44,Saint George,US,2022-12-04 21:00:36,37.1041,-113.5841,62.44,43,0,3.0
45,Rio Gallegos,AR,2022-12-04 21:04:22,-51.6226,-69.2181,66.25,19,20,34.52
46,Faanui,PF,2022-12-04 21:04:23,-16.4833,-151.75,79.88,77,15,14.7
47,Bengkulu,ID,2022-12-04 21:04:23,-3.8004,102.2655,74.37,90,100,3.87
48,Lagoa,PT,2022-12-04 20:59:29,39.05,-27.9833,59.67,67,100,13.11
49,Decatur,US,2022-12-04 21:00:03,39.8403,-88.9548,41.88,28,1,9.33
50,East London,ZA,2022-12-04 21:00:34,-33.0153,27.9116,68.14,88,100,17.4
51,Kiruna,SE,2022-12-04 21:01:15,67.8557,20.2251,18.52,86,100,12.66
52,Margate,GB,2022-12-04 21:04:24,51.3813,1.3862,42.31,83,100,4.0
53,Bambanglipuro,ID,2022-12-04 21:04:25,-7.95,110.2833,76.28,89,100,2.68
54,Thompson,CA,2022-12-04 21:04:25,55.7435,-97.8558,-12.84,70,75,8.05
55,Yellowknife,CA,2022-12-04 21:01:27,62.456,-114.3525,-10.12,90,56,13.53
56,Liverpool,GB,2022-12-04 21:03:03,53.4106,-2.9779,41.54,92,94,7.16
57,Griffith,US,2022-12-04 21:04:26,41.5284,-87.4237,41.04,40,0,13.8
58,Punta Arenas,CL,2022-12-04 21:04:26,-53.15,-70.9167,48.31,66,75,28.77
59,Hasaki,JP,2022-12-04 21:03:55,35.7333,140.8333,46.8,73,100,22.12
60,Inirida,CO,2022-12-04 21:00:31,3.8653,-67.9239,82.13,83,68,1.48
61,Chapadinha,BR,2022-12-04 21:04:27,-3.7417,-43.3603,82.09,55,55,3.31
62,Cape Town,ZA,2022-12-04 21:00:05,-33.9258,18.4232,63.27,63,30,11.01
63,Marzuq,YE,2022-12-04 21:04:28,14.4,46.4667,60.44,37,2,1.52
64,Pangai,TO,2022-12-04 21:04:28,-19.8,-174.35,79.81,79,100,5.14
65,Severo-Kurilsk,RU,2022-12-04 21:02:38,50.6789,156.125,24.53,59,95,28.48
66,Maniitsoq,GL,2022-12-04 21:04:29,65.4167,-52.9,34.2,62,100,23.98
67,Qaanaaq,GL,2022-12-04 21:04:29,77.484,-69.3632,-7.1,67,12,8.08
68,Sangin,AF,2022-12-04 21:04:29,32.0728,64.8359,47.37,40,5,1.21
69,Castro,BR,2022-12-04 21:04:30,-24.7911,-50.0119,69.19,94,100,4.34
70,Tecoanapa,MX,2022-12-04 21:04:30,16.5167,-98.75,84.27,55,0,8.3
71,Vardo,NO,2022-12-04 21:04:31,70.3705,31.1107,26.58,80,75,9.22
72,Coihaique,CL,2022-12-04 21:01:00,-45.5752,-72.0662,49.71,91,96,9.31
73,Port Elizabeth,ZA,2022-12-04 21:04:31,-33.918,25.5701,65.1,99,100,5.99
74,Richards Bay,ZA,2022-12-04 21:04:31,-28.783,32.0377,71.96,89,100,7.81
75,Puerto Ayora,EC,2022-12-04 21:04:32,-0.7393,-90.3518,80.56,87,74,5.99
76,Sao Filipe,CV,2022-12-04 21:04:32,14.8961,-24.4956,71.94,65,93,4.12
77,New Norfolk,AU,2022-12-04 21:02:52,-42.7826,147.0587,53.92,70,100,5.01
78,Airai,TL,2022-12-04 21:04:33,-8.9266,125.4092,58.8,63,99,2.24
79,Tuatapere,NZ,2022-12-04 21:04:33,-46.1333,167.6833,52.48,83,100,2.71
80,Namibe,AO,2022-12-04 21:03:45,-15.1961,12.1522,70.52,83,91,6.42
81,Mindelo,CV,2022-12-04 21:04:34,16.8901,-24.9804,71.96,65,38,7.74
