City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
509,Port Moresby,PG,80.02,scattered clouds,-9.4431,147.1797,The Sanctuary Hotel and Spa
510,Ballina,AU,74.79,broken clouds,-28.8667,153.5667,Ballina Beach Resort
512,Maxixe,MZ,74.86,clear sky,-23.8597,35.3472,Hotel Herry
513,Pangkalanbuun,ID,73.83,overcast clouds,-2.6833,111.6167,Hotel Tiara
515,Clarence Town,AU,74.14,clear sky,-32.5833,151.7833,Erringhi Hotel
517,Kawalu,ID,71.67,overcast clouds,-7.3817,108.2082,Hotel Surya
520,Mahebourg,MU,76.24,broken clouds,-20.4081,57.7,Grand Bel Air
521,Fougamou,GA,73.71,light rain,-1.2154,10.5838,Auberge
525,Kollam,IN,76.53,broken clouds,8.8833,76.6,Sea Palace
526,Nabire,ID,80.17,overcast clouds,-3.3667,135.4833,Hotel Anggrek
532,Jacareacanga,BR,78.85,overcast clouds,-6.2222,-57.7528,Hotel São Cristovão
533,Nouakchott,MR,75.13,clear sky,18.0858,-15.9785,فندق أدرار
534,Tocache,PE,78.31,broken clouds,-8.1842,-76.5125,Hotel España
536,Freetown,SL,80.08,broken clouds,8.484,-13.2299,Formal Leona hotel
538,Palu,ID,77.09,overcast clouds,-0.8917,119.8707,Ujung Pandang Hotel
545,Namatanai,PG,83.39,overcast clouds,-3.6667,152.4333,Namatanai Hotel
546,Akyab,MM,72.91,clear sky,20.15,92.9,Yuzana Aung Motel 1
547,Ambulu,ID,76.14,broken clouds,-8.345,113.6058,Hotel Ambulu
552,Port Augusta,AU,74.97,scattered clouds,-32.5,137.7667,Hotel Commonwealth
554,Phan Thiet,VN,71.89,overcast clouds,10.9333,108.1,Khách sạn Cà Ty
563,Ratnagiri,IN,73.13,scattered clouds,16.9833,73.3,Vihar
564,Maun,BW,71.56,scattered clouds,-19.9833,23.4167,Center Lodge Conference Center
568,Conde,BR,80.06,few clouds,-7.2597,-34.9075,Paladino
576,Rock Sound,BS,76.53,clear sky,24.9,-76.2,Rock Sound Club
577,Matara,LK,75.72,overcast clouds,5.9485,80.5353,Villa Palm Breeze
583,Ler,SS,74.88,clear sky,8.3018,30.1418,Green Hotel
595,Kang,BW,74.07,broken clouds,-23.6752,22.7876,Nkisi Guest House
599,Lazaro Cardenas,MX,80.83,clear sky,17.9583,-102.2,Hotel Sol del Pacífico
603,Kalmunai,LK,74.25,overcast clouds,7.4167,81.8167,Saji new food
614,Puerto Carreno,CO,87.78,scattered clouds,6.189,-67.4859,Carreño Plaza
616,Yenagoa,NG,79.07,overcast clouds,4.9247,6.2642,Peretimi Hotels Ltd.
632,Sawakin,SD,76.77,few clouds,19.1059,37.3321,Hotel Halfa
641,Praya,CV,75.74,few clouds,14.9215,-23.5087,Casa Sodadi
642,Oistins,BB,75.29,few clouds,13.0667,-59.5333,The Abidah By Accra
645,Ponta Pora,BR,75.47,broken clouds,-22.5361,-55.7256,Hotel de Trânsito e Oficiais
651,Atar,MR,78.6,clear sky,20.5169,-13.0499,فندق سكليل
652,Upata,VE,80.19,broken clouds,8.0086,-62.3989,Hotel Garibardi
653,Sibolga,ID,74.14,overcast clouds,1.7427,98.7792,Hotel Prima Indah
657,Mesetas,CO,72.46,broken clouds,3.3846,-74.0442,Hotel Doña BETY
662,Singapore,SG,78.84,thunderstorm,1.2897,103.8501,5footway.inn
670,Corpus Christi,US,80.69,broken clouds,27.8006,-97.3964,Omni Corpus Christi Hotel
671,Upington,ZA,75.58,overcast clouds,-28.4478,21.2561,Die Eiland Holiday Ressort
673,Bella Union,UY,79.79,overcast clouds,-30.2752,-57.6007,Hotel Oriente
675,Grand Gaube,MU,76.37,few clouds,-20.0064,57.6608,Coco Villa
680,Malpe,IN,74.5,overcast clouds,13.35,74.7167,Hotel Kart
682,Kununurra,AU,82.38,broken clouds,-15.7667,128.7333,Kununurra Country Club Resort
686,Tucuman,AR,75.2,moderate rain,-26.8241,-65.2226,Suites San Luis
