City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
107,Conceicao Da Barra,BR,-18.5933,-39.7322,76.44,91,66,8.75,broken clouds
108,Tarsus,TR,36.9188,34.8784,49.87,66,78,3.58,broken clouds
109,Yuanping,CN,38.7153,112.7575,17.04,36,2,1.68,clear sky
110,Pervoye Maya,RU,56.164,44.7196,30.96,94,100,12.71,light snow
111,Adrar,MR,20.5022,-10.0711,78.57,13,25,6.42,scattered clouds
112,Wilmington,US,34.2257,-77.9447,57.11,63,100,5.75,overcast clouds
113,Hirado,JP,33.3597,129.5531,54.39,62,100,13.91,overcast clouds
114,Yerbogachen,RU,61.2767,108.0108,-16.62,100,99,3.44,overcast clouds
115,Chernyshevskiy,RU,63.0128,112.4714,-21.8,98,100,3.38,overcast clouds
116,Umm Bab,QA,25.2142,50.8072,66.58,50,0,16.17,clear sky
117,Westport,US,41.1415,-73.3579,38.75,66,100,8.05,overcast clouds
118,Tuatapere,NZ,-46.1333,167.6833,61.5,69,94,3.85,overcast clouds
119,Constantine,DZ,36.365,6.6147,53.01,76,75,11.5,broken clouds
120,Mar Del Plata,AR,-38.0023,-57.5575,77.83,51,0,17.27,light rain
121,Walvis Bay,NA,-22.9575,14.5053,63.55,82,0,2.3,clear sky
122,New Norfolk,AU,-42.7826,147.0587,60.3,56,99,3.0,overcast clouds
123,Sitka,US,57.0531,-135.33,33.69,51,0,3.44,clear sky
124,Kavaratti,IN,10.5669,72.642,81.03,71,20,13.94,few clouds
125,Bethel,US,41.3712,-73.414,37.49,59,75,4.61,broken clouds
126,Provideniya,RU,64.3833,-173.3,30.87,98,100,11.74,snow
127,Faanui,PF,-16.4833,-151.75,76.93,76,100,6.33,light rain
128,Salinas,US,36.6777,-121.6555,61.99,79,100,11.5,mist
129,Nuuk,GL,64.1835,-51.7216,27.21,74,0,10.36,clear sky
130,Omboue,GA,-1.5746,9.2618,78.08,85,100,4.88,light rain
131,Karlovac,HR,45.4872,15.5478,37.15,95,100,0.65,snow
132,Batagay-Alyta,RU,67.8006,130.4114,-33.59,87,99,3.8,overcast clouds
133,Jinka,ET,5.65,36.65,64.36,74,12,1.41,light rain
134,Zabid,YE,14.1951,43.3152,74.7,76,1,3.91,clear sky
135,Sechura,PE,-5.5569,-80.8222,74.57,65,43,17.16,scattered clouds
136,Saldanha,ZA,-33.0117,17.9442,69.85,79,32,4.23,scattered clouds
137,Vardo,NO,70.3705,31.1107,24.78,58,66,23.02,broken clouds
138,Thompson,CA,55.7435,-97.8558,21.36,93,100,3.44,light snow
139,Fort Nelson,CA,58.8053,-122.7002,-2.06,76,75,4.61,broken clouds
140,Severo-Kurilsk,RU,50.6789,156.125,25.9,73,100,6.31,overcast clouds
141,Bengkulu,ID,-3.8004,102.2655,74.95,89,100,6.82,light rain
142,Gigmoto,PH,13.7796,124.39,78.3,90,100,8.99,overcast clouds
143,Vagay,RU,57.9375,69.0217,6.17,95,100,5.23,light snow
144,Opotiki,NZ,-38.0833,177.2833,68.38,97,99,7.05,overcast clouds
145,Naryan-Mar,RU,67.6713,53.087,-0.76,99,100,3.09,overcast clouds
146,Alice Springs,AU,-23.7,133.8833,88.21,40,82,3.0,broken clouds
147,Jalu,LY,29.0331,21.5482,69.06,26,2,8.66,clear sky
148,Cuauhtemoc,MX,28.4167,-106.8667,64.11,23,34,18.21,scattered clouds
149,Kamenka,RU,51.3223,42.7678,29.48,91,100,18.92,overcast clouds
150,Leningradskiy,RU,69.3833,178.4167,-4.0,95,100,6.51,overcast clouds
151,Nyzy,UA,50.7828,34.7844,45.05,98,100,10.98,overcast clouds
152,Hastings,GB,50.8552,0.5729,38.95,87,24,1.9,few clouds
153,Prince Rupert,CA,54.3161,-130.3201,40.69,68,0,18.41,clear sky
154,Rundu,NA,-17.9333,19.7667,68.5,74,24,3.89,few clouds
155,Rantepao,ID,-2.9701,119.8978,65.71,96,95,2.08,overcast clouds
156,Inirida,CO,3.8653,-67.9239,76.77,92,75,0.83,broken clouds
157,Biak,ID,-0.9131,122.8766,76.32,79,71,1.9,broken clouds
158,Bathsheba,BB,13.2167,-59.5167,75.81,81,20,4.61,few clouds
159,Ponta Do Sol,PT,32.6667,-17.1,74.71,94,100,11.48,moderate rain
160,Coquimbo,CL,-29.9533,-71.3436,62.33,94,100,10.36,overcast clouds
161,Saint-Augustin,CA,51.226,-58.6502,12.06,73,4,15.84,clear sky
162,Ritchie,ZA,-29.038,24.6028,74.61,51,99,11.23,overcast clouds
163,Dawlatabad,AF,36.4141,64.9053,33.06,73,100,3.51,overcast clouds
164,Dingle,PH,10.9995,122.6711,73.71,93,100,1.72,overcast clouds
165,Yarada,IN,17.65,83.2667,75.52,88,75,2.3,mist
166,Baoying,CN,33.2292,119.3092,33.58,76,3,9.35,clear sky
167,Nikolskoye,RU,59.7035,30.7861,24.69,100,99,2.82,overcast clouds
168,Geraldton,AU,-28.7667,114.6,55.81,82,0,6.91,clear sky
169,Tabuk,PH,17.4189,121.4443,71.53,90,94,5.41,overcast clouds
170,Kruisfontein,ZA,-34.0033,24.7314,68.49,97,100,4.12,light rain
171,Clyde River,CA,70.4692,-68.5914,-16.37,76,0,9.22,clear sky
172,Makokou,GA,0.5738,12.8642,74.55,72,79,1.36,broken clouds
173,Naron,ES,43.5167,-8.1528,48.04,73,100,2.35,overcast clouds
174,Iqaluit,CA,63.7506,-68.5145,-7.87,71,20,23.02,few clouds
175,Araouane,ML,18.9048,-3.5265,71.38,12,0,7.72,clear sky
176,Muborak,UZ,39.2553,65.1528,31.28,60,0,3.22,clear sky
177,Lebowakgomo,ZA,-24.2,29.5,59.45,58,49,5.37,scattered clouds
178,Najran,SA,17.4924,44.1277,61.45,43,3,4.36,clear sky
179,Cayenne,GF,4.9333,-52.3333,77.04,88,75,3.44,broken clouds
180,Loandjili,CG,-4.7561,11.8578,77.52,90,99,6.69,moderate rain
181,Panguna,PG,-6.3164,155.4848,75.38,83,99,1.03,light rain
182,Pinega,RU,64.7001,43.3936,-7.91,96,100,4.81,overcast clouds
183,Kloulklubed,PW,7.0419,134.2556,75.7,71,29,1.68,scattered clouds
184,Mayumba,GA,-3.432,10.6554,77.45,88,99,7.29,light rain
185,Alta Floresta,BR,-9.8756,-56.0861,75.04,80,100,4.32,overcast clouds
186,Kysyl-Syr,RU,63.8986,122.7617,-34.92,100,98,3.58,overcast clouds
187,Korla,CN,41.7597,86.1469,21.34,24,0,12.26,clear sky
188,Evensk,RU,61.95,159.2333,-9.35,79,72,5.48,broken clouds
189,Akureyri,IS,65.6835,-18.0878,10.33,85,0,5.75,clear sky
190,Vredendal,ZA,-31.6683,18.5012,77.54,55,4,13.18,light rain
191,Oranzherei,RU,45.8476,47.5663,35.24,74,100,18.81,overcast clouds
192,Mehamn,NO,71.0357,27.8492,22.95,74,20,6.91,few clouds
193,Pisco,PE,-13.7,-76.2167,69.85,83,0,19.57,light rain
194,Katsuura,JP,35.1333,140.3,44.62,71,42,16.58,scattered clouds
195,Mackay,AU,-21.15,149.2,83.68,68,32,8.81,scattered clouds
196,Qasigiannguit,GL,68.8193,-51.1922,19.65,75,100,3.8,overcast clouds
197,Kavieng,PG,-2.5744,150.7967,81.81,78,100,8.93,moderate rain
198,Girau Do Ponciano,BR,-9.8842,-36.8289,76.87,76,100,14.23,overcast clouds
199,Lalibela,ET,12.0333,39.0333,56.05,57,3,6.69,clear sky
200,Dole,FR,47.0833,5.5,30.49,93,75,3.44,broken clouds
201,Alofi,NU,-19.0595,-169.9187,82.29,78,99,13.8,light rain
202,Quatre Cocos,MU,-20.2078,57.7625,76.08,76,36,11.07,scattered clouds
203,Ville-Marie,CA,47.3335,-79.433,19.71,67,100,7.29,overcast clouds
204,Hay River,CA,60.8156,-115.7999,-5.82,71,100,5.75,overcast clouds
205,Praia,CV,14.9215,-23.5087,75.74,83,20,18.41,few clouds
206,Taltal,CL,-25.4,-70.4833,66.9,75,90,2.62,overcast clouds
207,Izacic,BA,44.875,15.7819,33.39,99,100,4.5,snow
208,San Carlos De Bariloche,AR,-41.1456,-71.3082,62.35,34,20,24.16,few clouds
209,Sukumo,JP,32.9333,132.7333,51.31,88,98,9.26,overcast clouds
210,Umba,RU,66.6871,34.3429,13.39,91,100,13.82,overcast clouds
211,Haimen,CN,23.1935,116.6142,60.69,70,73,11.77,broken clouds
212,Merauke,ID,-8.4667,140.3333,76.96,92,99,9.28,overcast clouds
213,Beira,MZ,-19.8436,34.8389,77.09,94,0,3.44,clear sky
214,Atambua,ID,-9.1061,124.8925,73.81,80,82,2.82,broken clouds
215,Puerto Madryn,AR,-42.7692,-65.0385,77.32,22,34,10.31,scattered clouds
216,Faya,SA,18.3851,42.4509,55.51,59,1,2.15,clear sky
217,Saskylakh,RU,71.9167,114.0833,-6.21,98,100,6.91,overcast clouds
218,Delemont,CH,47.3649,7.3445,32.02,98,73,1.34,broken clouds
219,Rajaldesar,IN,28.0333,74.4667,61.41,39,0,7.72,clear sky
220,Kahului,US,20.8947,-156.47,82.42,61,20,27.63,few clouds
221,Hilo,US,19.7297,-155.09,79.11,69,100,6.91,light rain
222,Bafia,CM,4.75,11.2333,71.01,58,0,2.01,clear sky
223,Tezu,IN,27.9167,96.1667,58.87,43,0,4.0,clear sky
224,Lerwick,GB,60.1545,-1.1494,35.6,58,93,17.02,overcast clouds
225,Ossora,RU,59.2353,163.0719,1.22,88,47,5.84,scattered clouds
226,Ternate,ID,0.8,127.4,80.51,79,93,4.68,overcast clouds
227,Udomlya,RU,57.8794,34.9925,16.81,97,100,6.51,overcast clouds
228,Bantry,IE,51.6833,-9.45,35.1,87,1,4.97,clear sky
229,Lasa,IT,46.6166,10.7002,36.48,94,90,8.16,overcast clouds
230,La Ronge,CA,55.1001,-105.2842,7.05,85,75,5.75,broken clouds
231,Marstal,DK,54.8562,10.5173,28.31,74,86,7.2,overcast clouds
232,Georgetown,MY,5.4112,100.3354,77.9,90,20,3.44,few clouds
233,Pangnirtung,CA,66.1451,-65.7125,5.65,98,100,1.66,overcast clouds
234,Meulaboh,ID,4.1363,96.1285,75.65,88,100,9.08,light rain
235,Quang Ngai,VN,15.1167,108.8,70.41,90,100,3.53,overcast clouds
236,Wanganui,NZ,-39.9333,175.05,64.6,82,66,5.14,broken clouds
237,Margate,GB,51.3813,1.3862,40.89,75,8,7.58,clear sky
238,Cap Malheureux,MU,-19.9842,57.6142,76.46,74,24,5.99,few clouds
239,Kalaleh,IR,37.3807,55.4916,44.22,67,24,1.7,few clouds
240,Riyadh,SA,24.6877,46.7219,51.94,55,0,5.88,clear sky
241,Honiara,SB,-9.4333,159.95,81.82,78,100,0.74,moderate rain
242,Springdale,US,36.1867,-94.1288,49.5,94,100,9.22,overcast clouds
243,Fayaoue,NC,-20.65,166.5333,80.1,80,100,11.54,overcast clouds
244,Carmen,MX,18.6333,-91.8333,82.44,61,40,5.75,scattered clouds
245,Oranjestad,AW,12.524,-70.027,82.35,71,20,12.66,few clouds
246,Nouadhibou,MR,20.931,-17.0347,71.58,78,2,17.27,clear sky
247,Porto Novo,BJ,6.4965,2.6036,82.22,82,88,7.07,overcast clouds
248,Bac Lieu,VN,9.285,105.7244,76.55,83,95,14.03,overcast clouds
249,Kodinsk,RU,58.6881,99.1844,0.1,90,100,8.75,overcast clouds
250,Guarapari,BR,-20.6667,-40.4975,71.89,95,11,7.09,few clouds
251,Taoudenni,ML,22.6783,-3.9836,79.36,13,1,4.79,clear sky
252,Humaita,BR,-7.5061,-63.0208,80.94,76,100,2.55,overcast clouds
253,Amilly,FR,47.9728,2.7719,29.88,92,63,4.14,broken clouds
254,Port Lincoln,AU,-34.7333,135.8667,62.31,75,99,16.4,overcast clouds
255,Jiuquan,CN,39.7432,98.5174,16.93,72,100,4.14,overcast clouds
256,Port Hedland,AU,-20.3167,118.5667,84.25,23,6,8.05,clear sky
257,Karratha,AU,-20.7377,116.8463,85.44,28,12,12.06,few clouds
258,Nanortalik,GL,60.1432,-45.2371,22.87,76,4,10.25,clear sky
259,Camocim,BR,-2.9022,-40.8411,80.35,77,8,17.81,clear sky
260,Bontang,ID,0.1333,117.5,75.6,88,45,6.02,scattered clouds
261,Kandrian,PG,-6.2167,149.55,82.17,75,100,1.52,light rain
262,Matay,EG,28.419,30.7792,60.62,41,0,4.03,clear sky
263,Paita,PE,-5.0892,-81.1144,69.96,79,28,14.18,scattered clouds
264,Volot,RU,57.9278,30.7025,19.27,93,100,6.2,overcast clouds
265,Baherden,TM,38.4362,57.4316,31.06,49,5,7.11,clear sky
266,Husavik,IS,66.0449,-17.3389,20.01,83,39,9.01,scattered clouds
267,Rawson,AR,-43.3002,-65.1023,74.35,28,47,5.35,scattered clouds
268,Grass Valley,US,39.2191,-121.0611,47.39,89,100,32.01,mist
